anio;mes;region_nombre;region_cod;generacion_mwh;cltes_libres_mwh;cltes_regulados_mwh,,,
2019;1;Región del Biobío;8;1334489,497;255904,6;164261,477
2019;1;Región de Antofagasta;2;1552684,673;1281828,9;74124,2
2019;1;Región de Tarapacá;1;75208,623;154142,2;36443,959
2019;1;Región de Atacama;3;633597,1938;244873,2;40508,146
2019;1;Región de Coquimbo;4;161822,628;171677,5;94770,4
2019;1;Región de Valparaíso;5;1147570,503;253569,7;234832,913
2019;1;Región del Libertador Gral. Bernardo O’Higgins;6;357930,1702;231921,1;144141,244
2019;1;Región del Maule;7;495143,8574;84863;157608,179,
2019;1;Región de la Araucanía;9;80243,83121;24765,7;92458,36
2019;1;Región de Los Lagos;10;114814,7162;66913,5;101474,106
2019;1;Región Aisén del Gral.Carlos Ibáñez del Campo;11;12910,41793;0;11142,32,
2019;1;Región Metropolitana de Santiago;13;507440,3554;718752,8;988222,667
2019;1;Región de Magallanes y de la Antártica Chilena;12;26763,818;0;25800,521,
2019;1;Región de Los Ríos;14;54071,30039;22208;44372,906,
2019;1;Región de Arica y Parinacota;15;4789,3132;8314,2;23777,141
2019;1;Región de Ñuble;16;17887,05546;0;54744,603,
2019;2;Región del Biobío;8;1213635,232;252083,7;164261,477
2019;2;Región de Antofagasta;2;1369371,752;1101684,3;74124,2
2019;2;Región de Tarapacá;1;61807,1316;148101,1;36443,959
2019;2;Región de Atacama;3;588309,5095;229058,7;40508,146
2019;2;Región de Valparaíso;5;1339091,366;225059,3;234832,913
2019;2;Región de Coquimbo;4;106673,7928;174908;94770,4,
2019;2;Región del Libertador Gral. Bernardo O’Higgins;6;298948,7363;214438,1;144141,244
2019;2;Región del Maule;7;365523,3486;95153;157608,179,
2019;2;Región de la Araucanía;9;74330,79219;22922,2;92458,36
2019;2;Región de Los Lagos;10;67976,23783;59623,8;101474,106
2019;2;Región Aisén del Gral.Carlos Ibáñez del Campo;11;11497,1954;0;11142,32,
2019;2;Región Metropolitana de Santiago;13;418003,9898;668720,8;988222,667
2019;2;Región de Magallanes y de la Antártica Chilena;12;24926,024;0;25800,521,
2019;2;Región de Los Ríos;14;67406,97425;20625,1;44372,906
2019;2;Región de Arica y Parinacota;15;5675,5337;5722,6;23777,141
2019;2;Región de Ñuble;16;19405,3259;0;54744,603,
2019;3;Región del Biobío;8;1267403,432;253539,9;164261,477
2019;3;Región de Antofagasta;2;1647808,736;1330781,8;74124,2
2019;3;Región de Tarapacá;1;84169,89214;168625,6;36443,959
2019;3;Región de Atacama;3;647751,4322;231658;40508,146,
2019;3;Región de Valparaíso;5;1574419,871;253859,2;234832,913
2019;3;Región de Coquimbo;4;162776,7184;194827,5;94770,4
2019;3;Región del Libertador Gral. Bernardo O’Higgins;6;260071,3317;218943,7;144141,244
2019;3;Región del Maule;7;388190,4341;116518,2;157608,179
2019;3;Región de la Araucanía;9;77167,46012;26864,3;92458,36
2019;3;Región de Los Lagos;10;88075,55869;61490,4;101474,106
2019;3;Región Aisén del Gral.Carlos Ibáñez del Campo;11;13212,13288;0;11142,32,
2019;3;Región Metropolitana de Santiago;13;346057,1818;723052,2;988222,667
2019;3;Región de Magallanes y de la Antártica Chilena;12;29454,2508;0;25800,521,
2019;3;Región de Los Ríos;14;43380,03039;22947,7;44372,906
2019;3;Región de Arica y Parinacota;15;3797,4081;8312,9;23777,141
2019;3;Región de Ñuble;16;39315,1658;0;54744,603,
2019;4;Región del Biobío;8;1092189,863;231562,5;164261,477
2019;4;Región de Antofagasta;2;1654391,242;1269771,2;74124,2
2019;4;Región de Tarapacá;1;69117,97475;131886,7;36443,959
2019;4;Región de Atacama;3;565544,2487;260390,5;40508,146
2019;4;Región de Valparaíso;5;1377003,825;231417,4;234832,913
2019;4;Región de Coquimbo;4;124346,8841;177236,4;94770,4
2019;4;Región del Libertador Gral. Bernardo O’Higgins;6;167924,2511;226748,6;144141,244
2019;4;Región del Maule;7;460256,1975;96105,4;157608,179
2019;4;Región de la Araucanía;9;65817,33885;25673,7;92458,36
2019;4;Región de Los Lagos;10;82981,00737;54099,2;101474,106
2019;4;Región Aisén del Gral.Carlos Ibáñez del Campo;11;13616,9318;0;11142,32,
2019;4;Región Metropolitana de Santiago;13;427625,2885;667313,8;988222,667
2019;4;Región de Magallanes y de la Antártica Chilena;12;29756,9092;0;25800,521,
2019;4;Región de Los Ríos;14;50944,19418;20497,9;44372,906
2019;4;Región de Arica y Parinacota;15;3444,7034;7535;23777,141,
2019;4;Región de Ñuble;16;38403,6453;0;54744,603,
2019;5;Región del Biobío;8;1194553,236;252423,3;164261,477
2019;5;Región de Antofagasta;2;1751501,656;1340615,2;74124,2
2019;5;Región del Maule;7;485707,7521;88192,1;157608,179
2019;5;Región de Tarapacá;1;82509,58032;150570,1;36443,959
2019;5;Región de Atacama;3;636667,3451;271932,2;40508,146
2019;5;Región de Valparaíso;5;1467188,555;245309,9;234832,913
2019;5;Región de Coquimbo;4;132897,3986;190661,8;94770,4
2019;5;Región del Libertador Gral. Bernardo O’Higgins;6;126025,4751;234970,2;144141,244
2019;5;Región de la Araucanía;9;88828,7049;26518,9;92458,36
2019;5;Región de Los Lagos;10;180549,5033;56141;101474,106,
2019;5;Región Aisén del Gral.Carlos Ibáñez del Campo;11;14359,92766;0;11142,32,
2019;5;Región Metropolitana de Santiago;13;326028,4817;685591,7;988222,667
2019;5;Región de Magallanes y de la Antártica Chilena;12;31039,8476;0;25800,521,
2019;5;Región de Los Ríos;14;63025,49026;23160,4;44372,906
2019;5;Región de Arica y Parinacota;15;3868,0906;7739,1;23777,141
2019;5;Región de Ñuble;16;36194,90891;0;54744,603,
2019;6;Región del Biobío;8;1272820,373;246623,2;164261,477
2019;6;Región de Antofagasta;2;1817533,588;1264593,8;74124,2
2019;6;Región de Tarapacá;1;79562,2214;151443,2;36443,959
2019;6;Región de Valparaíso;5;1067122,544;234965,3;234832,913
2019;6;Región de Atacama;3;721771,3425;252178,7;40508,146
2019;6;Región de Coquimbo;4;177397,808;156620,9;94770,4
2019;6;Región del Libertador Gral. Bernardo O’Higgins;6;106737,8206;228036,9;144141,244
2019;6;Región del Maule;7;499729,9904;85258,6;157608,179
2019;6;Región de la Araucanía;9;81970,72788;25195,9;92458,36
2019;6;Región de Los Lagos;10;195709,2366;53183,2;101474,106
2019;6;Región Aisén del Gral.Carlos Ibáñez del Campo;11;14739,95329;0;11142,32,
2019;6;Región Metropolitana de Santiago;13;295673,4745;674748,4;988222,667
2019;6;Región de Magallanes y de la Antártica Chilena;12;31639,1077;0;25800,521,
2019;6;Región de Los Ríos;14;83296,16131;21290,6;44372,906
2019;6;Región de Arica y Parinacota;15;3979,9504;7705,1;23777,141
2019;6;Región de Ñuble;16;39787,70469;0;54744,603,
2019;7;Región de Coquimbo;4;208076,2841;190770,4;94770,4
2019;7;Región de Antofagasta;2;1847675,008;1347841,4;74124,2
2019;7;Región de Tarapacá;1;102687,2035;159372,4;36443,959
2019;7;Región del Biobío;8;1322023,439;238754,6;164261,477
2019;7;Región de Atacama;3;782107,3976;273688,4;40508,146
2019;7;Región de Valparaíso;5;1206130,652;243830,9;234832,913
2019;7;Región del Libertador Gral. Bernardo O’Higgins;6;121195,7086;244107;144141,244,
2019;7;Región del Maule;7;405825,327;84182,2;157608,179
2019;7;Región de la Araucanía;9;90294,39882;25458;92458,36,
2019;7;Región de Los Lagos;10;195545,2292;57329,4;101474,106
2019;7;Región Aisén del Gral.Carlos Ibáñez del Campo;11;15216,63089;0;11142,32,
2019;7;Región Metropolitana de Santiago;13;288458,9734;709134,6;988222,667
2019;7;Región de Magallanes y de la Antártica Chilena;12;31947,5638;0;25800,521,
2019;7;Región de Los Ríos;14;96436,33574;21388,7;44372,906
2019;7;Región de Arica y Parinacota;15;4368,767;8735,4;23777,141
2019;7;Región de Ñuble;16;40747,58253;0;54744,603,
2019;8;Región del Biobío;8;1488595,437;258744,4;164261,477
2019;8;Región de Antofagasta;2;1752353,088;1359660,3;74124,2
2019;8;Región de Tarapacá;1;72860,76849;158450,2;36443,959
2019;8;Región de Valparaíso;5;1142430,741;247862,3;234832,913
2019;8;Región de Atacama;3;820084,5838;236849,9;40508,146
2019;8;Región de Coquimbo;4;240580,3039;184759,1;94770,4
2019;8;Región del Libertador Gral. Bernardo O’Higgins;6;93379,46981;243161,4;144141,244
2019;8;Región del Maule;7;434571,2175;86113,7;157608,179
2019;8;Región de la Araucanía;9;94948,15619;25895,8;92458,36
2019;8;Región de Los Lagos;10;184553,5443;58324,1;101474,106
2019;8;Región Aisén del Gral.Carlos Ibáñez del Campo;11;14799,90216;0;11142,32,
2019;8;Región Metropolitana de Santiago;13;124345,3271;705264,3;988222,667
2019;8;Región de Magallanes y de la Antártica Chilena;12;30873,4872;0;25800,521,
2019;8;Región de Los Ríos;14;95153,98285;22058,8;44372,906
2019;8;Región de Arica y Parinacota;15;4509,9399;8604,7;23777,141
2019;8;Región de Ñuble;16;41796,16047;0;54744,603,
2019;9;Región del Libertador Gral. Bernardo O’Higgins;6;92036,40772;231033,3;144141,244
2019;9;Región de Antofagasta;2;1855268,603;1330537,3;74124,2
2019;9;Región de Tarapacá;1;45657,90753;150910,7;36443,959
2019;9;Región del Biobío;8;1345504,464;238849,4;164261,477
2019;9;Región de Atacama;3;755801,8726;227111,6;40508,146
2019;9;Región de Valparaíso;5;844406,2523;230304,3;234832,913
2019;9;Región de Coquimbo;4;144335,1701;171388,9;94770,4
2019;9;Región del Maule;7;394713,829;75582,7;157608,179
2019;9;Región de la Araucanía;9;90583,47725;22889,7;92458,36
2019;9;Región de Los Lagos;10;163809,9;56102,1;101474,106
2019;9;Región Aisén del Gral.Carlos Ibáñez del Campo;11;13567,469;0;11142,32,
2019;9;Región Metropolitana de Santiago;13;252496,7724;643707;988222,667,
2019;9;Región de Magallanes y de la Antártica Chilena;12;28194,929;0;25800,521,
2019;9;Región de Los Ríos;14;74817,111;21084,2;44372,906
2019;9;Región de Arica y Parinacota;15;5009,8901;7493,8;23777,141
2019;9;Región de Ñuble;16;38775,97784;0;54744,603,
2019;10;Región del Libertador Gral. Bernardo O’Higgins;6;113973,5651;242675,5;144141,244
2019;10;Región de Antofagasta;2;1642182,254;1351847,4;74124,2
2019;10;Región de Tarapacá;1;62029,83013;146254,4;36443,959
2019;10;Región del Biobío;8;1476165,689;288459,8;164261,477
2019;10;Región de Atacama;3;739381,5192;227518,9;40508,146
2019;10;Región de Valparaíso;5;873691,4493;226857,9;234832,913
2019;10;Región de Coquimbo;4;245351,3611;136819,4;94770,4
2019;10;Región del Maule;7;439419,213;84162,4;157608,179
2019;10;Región de la Araucanía;9;108454,2126;26469,4;92458,36
2019;10;Región de Los Lagos;10;154415,6537;70603,9;101474,106
2019;10;Región Aisén del Gral.Carlos Ibáñez del Campo;11;14015,6264;0;11142,32,
2019;10;Región Metropolitana de Santiago;13;304677,3724;663853;988222,667,
2019;10;Región de Magallanes y de la Antártica Chilena;12;29146,9422;0;25800,521,
2019;10;Región de Los Ríos;14;64821,92583;26311,6;44372,906
2019;10;Región de Arica y Parinacota;15;5447,2181;7619,5;23777,141
2019;10;Región de Ñuble;16;30772,63774;0;54744,603,
2019;11;Región del Biobío;8;1232785,143;297611,8;164261,477
2019;11;Región de Antofagasta;2;1902148,523;1368034,4;74124,2
2019;11;Región de Tarapacá;1;80662,71483;154366;36443,959,
2019;11;Región del Libertador Gral. Bernardo O’Higgins;6;233304,3371;238857,8;144141,244
2019;11;Región de Atacama;3;704850,9768;242639;40508,146,
2019;11;Región de Valparaíso;5;764976,6852;247165,7;234832,913
2019;11;Región de Coquimbo;4;233513,0367;142018,9;94770,4
2019;11;Región del Maule;7;478139,8345;90557,4;157608,179
2019;11;Región de la Araucanía;9;112726,1759;26230,1;92458,36
2019;11;Región de Los Lagos;10;140927,583;72886,2;101474,106
2019;11;Región Aisén del Gral.Carlos Ibáñez del Campo;11;13023,718;0;11142,32,
2019;11;Región Metropolitana de Santiago;13;320520,7873;669671,8;988222,667
2019;11;Región de Magallanes y de la Antártica Chilena;12;27401,6008;0;25800,521,
2019;11;Región de Los Ríos;14;68950,88891;27759,7;44372,906
2019;11;Región de Arica y Parinacota;15;5676,8423;10583,6;23777,141
2019;11;Región de Ñuble;16;32887,94497;0;54744,603,
2019;12;Región del Biobío;8;1289985,588;269022,7;164261,477
2019;12;Región de Antofagasta;2;1938268,228;1428335,7;74124,2
2019;12;Región de Tarapacá;1;89212,45751;166102,3;36443,959
2019;12;Región del Libertador Gral. Bernardo O’Higgins;6;287511,7765;256555,3;144141,244
2019;12;Región de Atacama;3;770078,9064;272658;40508,146,
2019;12;Región de Valparaíso;5;965038,4371;265374,3;234832,913
2019;12;Región de Coquimbo;4;223155,2286;188058,8;94770,4
2019;12;Región del Maule;7;464362,0287;102917,1;157608,179
2019;12;Región de la Araucanía;9;152881,2084;27940,8;92458,36
2019;12;Región de Los Lagos;10;116534,792;76870,4;101474,106
2019;12;Región Aisén del Gral.Carlos Ibáñez del Campo;11;13362,4792;0;11142,32,
2019;12;Región Metropolitana de Santiago;13;381788,6349;709054,8;988222,667
2019;12;Región de Magallanes y de la Antártica Chilena;12;27758,4066;0;25800,521,
2019;12;Región de Los Ríos;14;66153,15725;27260,1;44372,906
2019;12;Región de Arica y Parinacota;15;5786,7847;10234,2;23777,141
2019;12;Región de Ñuble;16;34345,89217;0;54744,603,
2020;1;Región del Biobío;8;1264624,413;276217,0988;164261,477
2020;1;Región de Antofagasta;2;2059381,608;1395329,129;74124,2
2020;1;Región de Tarapacá;1;29951,62801;164055,1481;36443,959
2020;1;Región del Libertador Gral. Bernardo O’Higgins;6;330526,066;253007,3609;144141,244
2020;1;Región de Atacama;3;655199,6618;249063,117;40508,146
2020;1;Región de Valparaíso;5;1080779,684;268089,335;234832,913
2020;1;Región de Coquimbo;4;138174,4312;190150,578;94770,4
2020;1;Región del Maule;7;391207,3536;100012,8303;157608,179
2020;1;Región de la Araucanía;9;155458,9379;28854,15662;92458,36
2020;1;Región de Los Lagos;10;179216,2271;81092,95574;101474,106
2020;1;Región Aisén del Gral.Carlos Ibáñez del Campo;11;13032,775;0;11142,32,
2020;1;Región Metropolitana de Santiago;13;422638,3104;722515,3336;988222,667
2020;1;Región de Magallanes y de la Antártica Chilena;12;28378,2648;0;25800,521,
2020;1;Región de Los Ríos;14;58249,25318;26478,2361;44372,906
2020;1;Región de Arica y Parinacota;15;4982,9123;10407,97967;23777,141
2020;1;Región de Ñuble;16;30244,71105;0;54744,603,
2020;2;Región del Biobío;8;1132324,795;276255,8451;164261,477
2020;2;Región de Antofagasta;2;1829143,847;1311122,495;74124,2
2020;2;Región de Tarapacá;1;29063,28677;156219,5591;36443,959
2020;2;Región de Valparaíso;5;1148669,295;239820,6869;234832,913
2020;2;Región de Atacama;3;676177,0734;236656,3529;40508,146
2020;2;Región de Coquimbo;4;168656,1318;177146,9496;94770,4
2020;2;Región del Libertador Gral. Bernardo O’Higgins;6;287061,3101;234920,2529;144141,244
2020;2;Región del Maule;7;317578,148;108594,2517;157608,179
2020;2;Región de la Araucanía;9;134039,4466;28511,9656;92458,36
2020;2;Región de Los Lagos;10;152249,8377;77361,61113;101474,106
2020;2;Región Aisén del Gral.Carlos Ibáñez del Campo;11;12475,7834;0;11142,32,
2020;2;Región Metropolitana de Santiago;13;414678,266;693326,5499;988222,667
2020;2;Región de Magallanes y de la Antártica Chilena;12;26736,16498;0;25800,521,
2020;2;Región de Los Ríos;14;37901,18058;26218,17473;44372,906
2020;2;Región de Arica y Parinacota;15;5122,8293;10235,65125;23777,141
2020;2;Región de Ñuble;16;33356,74284;0;54744,603,
2020;3;Región del Biobío;8;1030848,314;280595,6846;164261,477
2020;3;Región de Antofagasta;2;2001462,564;1439163,478;74124,2
2020;3;Región de Tarapacá;1;39331,33138;163082,0682;36443,959
2020;3;Región de Coquimbo;4;139110,0765;189339,2913;94770,4
2020;3;Región de Atacama;3;724741,5055;261895,3217;40508,146
2020;3;Región de Valparaíso;5;1569210,846;262178,6589;234832,913
2020;3;Región del Libertador Gral. Bernardo O’Higgins;6;279757,1584;270261,4658;144141,244
2020;3;Región del Maule;7;215376,4468;126714,441;157608,179
2020;3;Región de la Araucanía;9;139218,042;30739,41202;92458,36
2020;3;Región de Los Lagos;10;148116,8784;73252,13786;101474,106
2020;3;Región Aisén del Gral.Carlos Ibáñez del Campo;11;13477,09738;0;11142,32,
2020;3;Región Metropolitana de Santiago;13;392161,862;723966,7333;988222,667
2020;3;Región de Magallanes y de la Antártica Chilena;12;29446,0564;0;25800,521,
2020;3;Región de Los Ríos;14;45525,6848;27811,16901;44372,906
2020;3;Región de Arica y Parinacota;15;6636,409134;11179,24402;23777,141
2020;3;Región de Ñuble;16;34935,73749;0;54744,603,
2020;4;Región del Biobío;8;869851,0358;260479,0875;164261,477
2020;4;Región de Antofagasta;2;2026475,271;1418678,103;74124,2
2020;4;Región de Tarapacá;1;52374,60332;148835,7276;36443,959
2020;4;Región de Atacama;3;663881,9324;242172,8771;40508,146
2020;4;Región de Valparaíso;5;1456146,53;214499,1965;234832,913
2020;4;Región de Coquimbo;4;119764,3935;178661,4159;94770,4
2020;4;Región del Libertador Gral. Bernardo O’Higgins;6;141036,4335;264202,7047;144141,244
2020;4;Región del Maule;7;238882,3652;104235,7158;157608,179
2020;4;Región de la Araucanía;9;113851,8188;25601,44116;92458,36
2020;4;Región de Los Lagos;10;132234,6411;65791,945;101474,106
2020;4;Región Aisén del Gral.Carlos Ibáñez del Campo;11;13287,681;0;11142,32,
2020;4;Región Metropolitana de Santiago;13;296099,1066;615783,5668;988222,667
2020;4;Región de Magallanes y de la Antártica Chilena;12;26951,228;0;25800,521,
2020;4;Región de Los Ríos;14;35017,34059;24929,29529;44372,906
2020;4;Región de Arica y Parinacota;15;4927,117671;11041,2434;23777,141
2020;4;Región de Ñuble;16;34268,91287;0;54744,603,
2020;5;Región de Antofagasta;2;2066807,171;1412668,424;74124,2
2020;5;Región de Tarapacá;1;46870,56266;162954,3978;36443,959
2020;5;Región del Biobío;8;1091814,271;280659,1272;164261,477
2020;5;Región de Atacama;3;636056,2615;270668,8362;40508,146
2020;5;Región de Valparaíso;5;1360751,905;226167,8651;234832,913
2020;5;Región de Coquimbo;4;138634,2518;186568,8344;94770,4
2020;5;Región del Maule;7;326786,6003;98837,85602;157608,179
2020;5;Región del Libertador Gral. Bernardo O’Higgins;6;109735,7822;258588,2849;144141,244
2020;5;Región de la Araucanía;9;93755,18052;29752,67022;92458,36
2020;5;Región de Los Lagos;10;184936,6454;65850,42877;101474,106
2020;5;Región Aisén del Gral.Carlos Ibáñez del Campo;11;14598,99273;0;11142,32,
2020;5;Región Metropolitana de Santiago;13;263366,4285;600717,6367;988222,667
2020;5;Región de Magallanes y de la Antártica Chilena;12;30586,7794;0;25800,521,
2020;5;Región de Los Ríos;14;57168,12746;24969,72062;44372,906
2020;5;Región de Arica y Parinacota;15;5180,359259;10227,35286;23777,141
2020;5;Región de Ñuble;16;26279,94996;0;54744,603,
2020;6;Región de Antofagasta;2;2022236,859;1379948,738;74124,2
2020;6;Región de Tarapacá;1;45919,1529;154997,4483;36443,959
2020;6;Región del Biobío;8;1029920,181;235868,7932;164261,477
2020;6;Región de Atacama;3;703801,8813;257553,2781;40508,146
2020;6;Región de Valparaíso;5;1384571,247;209259,0621;234832,913
2020;6;Región de Coquimbo;4;136128,0901;151061,0192;94770,4
2020;6;Región del Maule;7;326439,9468;89538,04151;157608,179
2020;6;Región del Libertador Gral. Bernardo O’Higgins;6;142697,67;228488,2578;144141,244
2020;6;Región de la Araucanía;9;104979,735;27347,13089;92458,36
2020;6;Región de Los Lagos;10;202225,2577;60736,70132;101474,106
2020;6;Región Aisén del Gral.Carlos Ibáñez del Campo;11;15115,30645;0;11142,32,
2020;6;Región Metropolitana de Santiago;13;204790,3342;589280,0132;988222,667
2020;6;Región de Magallanes y de la Antártica Chilena;12;29912,7986;0;25800,521,
2020;6;Región de Los Ríos;14;78259,60121;23622,66408;44372,906
2020;6;Región de Arica y Parinacota;15;4854,761462;10117,89195;23777,141
2020;6;Región de Ñuble;16;34590,35451;0;54744,603,
2020;7;Región de Antofagasta;2;1799560,294;1379970,994;74124,2
2020;7;Región de Tarapacá;1;52135,86687;158670,4803;36443,959
2020;7;Región del Biobío;8;1269432,026;235757,9748;164261,477
2020;7;Región de Atacama;3;704055,1691;255900,4622;40508,146
2020;7;Región de Valparaíso;5;1131149,914;209901,2614;234832,913
2020;7;Región de Coquimbo;4;171166,5691;154391,3747;94770,4
2020;7;Región del Maule;7;494316,8525;85049,84874;157608,179
2020;7;Región del Libertador Gral. Bernardo O’Higgins;6;220476,8423;216423,6841;144141,244
2020;7;Región de la Araucanía;9;98999,41562;26941,89495;92458,36
2020;7;Región de Los Lagos;10;195698,5326;62234,9448;101474,106
2020;7;Región Aisén del Gral.Carlos Ibáñez del Campo;11;15959,53418;0;11142,32,
2020;7;Región Metropolitana de Santiago;13;191022,6663;656046,2169;988222,667
2020;7;Región de Magallanes y de la Antártica Chilena;12;32175,2562;0;25800,521,
2020;7;Región de Los Ríos;14;97714,78353;23721,47147;44372,906
2020;7;Región de Arica y Parinacota;15;4958,226278;10929,9191;23777,141
2020;7;Región de Ñuble;16;49513,81201;0;54744,603,
2020;8;Región del Biobío;8;1188350,284;247415,329;164261,477
2020;8;Región de Antofagasta;2;1765431,121;1377711,361;74124,2
2020;8;Región de Tarapacá;1;59478,2552;155226,7515;36443,959
2020;8;Región de Valparaíso;5;1207625,642;224119,2185;234832,913
2020;8;Región de Atacama;3;642893,5539;243823,1775;40508,146
2020;8;Región de Coquimbo;4;242714,3881;180148,575;94770,4
2020;8;Región del Libertador Gral. Bernardo O’Higgins;6;207401,5313;252854,0018;144141,244
2020;8;Región del Maule;7;495509,231;86253,77121;157608,179
2020;8;Región de la Araucanía;9;139606,114;27889,69099;92458,36
2020;8;Región de Los Lagos;10;199517,6894;65355,82707;101474,106
2020;8;Región Aisén del Gral.Carlos Ibáñez del Campo;11;15077,60718;0;11142,32,
2020;8;Región Metropolitana de Santiago;13;166295,88;684118,6971;988222,667
2020;8;Región de Magallanes y de la Antártica Chilena;12;30110,1866;0;25800,521,
2020;8;Región de Los Ríos;14;92868,71004;25773,13172;44372,906
2020;8;Región de Arica y Parinacota;15;5010,715101;11455,0205;23777,141
2020;8;Región de Ñuble;16;48072,24203;0;54744,603,
2020;9;Región del Biobío;8;1172143,098;242845,3324;164261,477
2020;9;Región de Antofagasta;2;1621748,431;1362331,643;74124,2
2020;9;Región de Tarapacá;1;65362,21923;152221,5626;36443,959
2020;9;Región de Valparaíso;5;1079924,216;223875,972;234832,913
2020;9;Región de Atacama;3;699871,4928;224158,2077;40508,146
2020;9;Región de Coquimbo;4;194887,5655;174588,7623;94770,4
2020;9;Región del Libertador Gral. Bernardo O’Higgins;6;200304,2814;245993,1075;144141,244
2020;9;Región del Maule;7;544416,7187;82467,98424;157608,179
2020;9;Región de la Araucanía;9;123851,2213;25839,39369;92458,36
2020;9;Región de Los Lagos;10;177067,94;64309,48782;101474,106
2020;9;Región Aisén del Gral.Carlos Ibáñez del Campo;11;13893,8518;0;11142,32,
2020;9;Región Metropolitana de Santiago;13;159338,9829;678872,2737;988222,667
2020;9;Región de Magallanes y de la Antártica Chilena;12;27336,2476;0;25800,521,
2020;9;Región de Los Ríos;14;79319,20454;25531,52441;44372,906
2020;9;Región de Arica y Parinacota;15;5757,912948;10860,86825;23777,141
2020;9;Región de Ñuble;16;45266,23413;0;54744,603,
2020;10;Región de Coquimbo;4;266274,8544;183865,2036;94770,4
2020;10;Región de Antofagasta;2;1413426,106;1454442,784;74124,2
2020;10;Región de Tarapacá;1;73368,5198;137611,9902;36443,959
2020;10;Región del Biobío;8;1324421,182;244270,8099;164261,477
2020;10;Región de Atacama;3;833273,155;243263,8829;40508,146
2020;10;Región de Valparaíso;5;683733,8151;220125,3273;234832,913
2020;10;Región del Libertador Gral. Bernardo O’Higgins;6;292677,6367;256258,5195;144141,244
2020;10;Región del Maule;7;878140,6125;87925,63381;157608,179
2020;10;Región de la Araucanía;9;134461,1915;28938,4589;92458,36
2020;10;Región de Los Lagos;10;186332,5542;73624,54324;101474,106
2020;10;Región Aisén del Gral.Carlos Ibáñez del Campo;11;13665,5688;0;11142,32,
2020;10;Región Metropolitana de Santiago;13;229685,532;737418,7004;988222,667
2020;10;Región de Magallanes y de la Antártica Chilena;12;24782,52097;0;25800,521,
2020;10;Región de Los Ríos;14;76419,33286;26609,21563;44372,906
2020;10;Región de Arica y Parinacota;15;6592,578061;12227,80227;23777,141
2020;10;Región de Ñuble;16;41334,21758;0;54744,603,
2020;11;Región de Valparaíso;5;572885,4124;230724,6312;234832,913
2020;11;Región de Antofagasta;2;1589000,342;1386373,572;74124,2
2020;11;Región de Tarapacá;1;73046,10042;154863,1344;36443,959
2020;11;Región del Biobío;8;1114809,257;261724,1211;164261,477
2020;11;Región de Atacama;3;735396,8823;201806,0109;40508,146
2020;11;Región de Coquimbo;4;189591,1888;185049,1488;94770,4
2020;11;Región del Maule;7;921476,0911;97549,93264;157608,179
2020;11;Región del Libertador Gral. Bernardo O’Higgins;6;458132,919;257184,3038;144141,244
2020;11;Región de la Araucanía;9;143413,2532;28075,49236;92458,36
2020;11;Región de Los Lagos;10;176586,33;76528,02229;101474,106
2020;11;Región Aisén del Gral.Carlos Ibáñez del Campo;11;12753,465;0;11142,32,
2020;11;Región Metropolitana de Santiago;13;261886,4762;737061,5129;988222,667
2020;11;Región de Magallanes y de la Antártica Chilena;12;24124,4122;0;25800,521,
2020;11;Región de Los Ríos;14;80810,05582;26896,35215;44372,906
2020;11;Región de Arica y Parinacota;15;6708,461966;12258,44052;23777,141
2020;11;Región de Ñuble;16;37314,00885;0;54744,603,
2020;12;Región del Biobío;8;1208998,499;283619,0847;164261,477
2020;12;Región de Antofagasta;2;1912622,675;1516127,153;74124,2
2020;12;Región de Tarapacá;1;70582,15128;149653,5084;36443,959
2020;12;Región de Valparaíso;5;734235,502;229963,1938;234832,913
2020;12;Región de Atacama;3;748616,5381;260800,1028;40508,146
2020;12;Región de Coquimbo;4;209841,3696;189031,0737;94770,4
2020;12;Región del Libertador Gral. Bernardo O’Higgins;6;463059,753;276094,4754;144141,244
2020;12;Región del Maule;7;712090,7907;113034,0071;157608,179
2020;12;Región de la Araucanía;9;187571,5659;30024,30637;92458,36
2020;12;Región de Los Lagos;10;176063,6162;79811,44611;101474,106
2020;12;Región Aisén del Gral.Carlos Ibáñez del Campo;11;13268,54636;0;11142,32,
2020;12;Región Metropolitana de Santiago;13;325949,0732;775344,4647;988222,667
2020;12;Región de Magallanes y de la Antártica Chilena;12;25320,8524;0;25800,521,
2020;12;Región de Los Ríos;14;74563,7924;28294,62434;44372,906
2020;12;Región de Arica y Parinacota;15;7540,509675;11979,73618;23777,141
2020;12;Región de Ñuble;16;38644,6076;0;54744,603,
