Ańo,Sistema,Capacidad Instalada MW,Demanda máxima MW,Demanda/Capacidad,,,,,,,,,,,,,,,,,,,,,,,,
2009,SIC," 11,404 ","6,139 ",54%,,,,,,,,,,,,,,,,,,,,,,,,
2009,SING," 3,699 ","1,816 ",49%,,,,,,,,,,,,,,,,,,,,,,,,
2010,SIC," 12,147 ","6,482 ",53%,,,,,,,,,,,,,,,,,,,,,,,,
2010,SING," 3,701 ","1,900 ",51%,,,,,,,,,,,,,,,,,,,,,,,,
2011,SIC," 12,715 ","6,881 ",54%,,,,,,,,,,,,,,,,,,,,,,,,
2011,SING," 4,585 ","2,003 ",44%,,,,,,,,,,,,,,,,,,,,,,,,
2012,SIC," 13,585 ","6,992 ",51%,,,,,,,,,,,,,,,,,,,,,,,,
2012,SING," 4,604 ","2,012 ",44%,,,,,,,,,,,,,,,,,,,,,,,,
2013,SIC," 14,147 ","7,282 ",51%,,,,,,,,,,,,,,,,,,,,,,,,
2013,SING," 4,607 ","2,060 ",45%,,,,,,,,,,,,,,,,,,,,,,,,
2014,SIC," 15,179 ","7,547 ",50%,,,,,,,,,,,,,,,,,,,,,,,,
2014,SING," 4,081 ","2,195 ",54%,,,,,,,,,,,,,,,,,,,,,,,,
2015,SIC," 15,912 ","7,577 ",48%,,,,,,,,,,,,,,,,,,,,,,,,
2015,SING," 4,183 ","2,290 ",55%,,,,,,,,,,,,,,,,,,,,,,,,
2016,SIC," 17,315 ","7,789 ",45%,,,,,,,,,,,,,,,,,,,,,,,,
2016,SING," 5,505 ","2,311 ",42%,,,,,,,,,,,,,,,,,,,,,,,,
2017,SEN," 23,729 ","10,363 ",44%,,,,,,,,,,,,,,,,,,,,,,,,
2018,SEN," 24,611 "," 10,626 ",43%,,,,,,,,,,,,,,,,,,,,,,,,
2019,SEN," 25,212 "," 10,793 ",43%,,,,,,,,,,,,,,,,,,,,,,,,
2020,SEN," 26,310 "," 10,907 ",41%,,,,,,,,,,,,,,,,,,,,,,,,
2021,SEN," 30,862 "," 11,303 ",37%,,,,,,,,,,,,,,,,,,,,,,,,
2022,SEN," 33,218 "," 11,917 ",36%,,,,,,,,,,,,,,,,,,,,,,,,
2023,SEN," 34,276 "," 11,536 ",34%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
